Extraction attempted for 145 files.
Successfully processed: 145
Totally failed files: 0

============================================================
LOG OF MISSING REQUIRED FIELDS (FILES WERE PROCESSED)
============================================================

[RBPR-138917-2025.json] Missing/Empty: inspections.Result[6].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[7].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[8].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[9].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[10].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[11].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[12].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[13].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[14].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[15].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[16].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[17].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[18].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[19].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[20].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[21].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[22].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[23].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[24].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: inspections.Result[25].WorkflowActionId
[RBPR-138917-2025.json] Missing/Empty: summary.Result[0].ActivityStatusName
[RBPR-138917-2025.json] Missing/Empty: summary.Result[0].CompletedOn
[RBPR-138917-2025.json] Missing/Empty: summary.Result[0].ScheduledStartDate
[RBPR-138917-2025.json] Missing/Empty: summary.Result[1].ActivityStatusName
[RBPR-138917-2025.json] Missing/Empty: summary.Result[1].ScheduledStartDate
[RBPR-138917-2025.json] Missing/Empty: summary.Result[2].ActivityStatusName
[RBPR-138917-2025.json] Missing/Empty: summary.Result[2].ScheduledStartDate
[RBPR-138917-2025.json] Missing/Empty: summary.Result[3].ActivityStatusName
[RBPR-138917-2025.json] Missing/Empty: summary.Result[3].ScheduledStartDate
[RBPR-138917-2025.json] Missing/Empty: summary.Result[4].ActivityStatusName
[RBPR-138917-2025.json] Missing/Empty: summary.Result[4].ScheduledStartDate
[RBPR-138917-2025.json] Missing/Empty: summary.Result[31].ActivityStatusName
[RBPR-138917-2025.json] Missing/Empty: summary.Result[31].CompletedOn
[RBPR-138917-2025.json] Missing/Empty: summary.Result[31].ScheduledStartDate
[RBPR-138917-2025.json] Missing/Empty: summary.Result[32].ActivityStatusName
[RBPR-138917-2025.json] Missing/Empty: summary.Result[32].CompletedOn
[RBPR-138917-2025.json] Missing/Empty: summary.Result[32].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: permit.FinalizeDate
[RBPR-138919-2025.json] Missing/Empty: permit.ProjectName
[RBPR-138919-2025.json] Missing/Empty: permit.MainAddressInfo.AddressLine3
[RBPR-138919-2025.json] Missing/Empty: permit.MainAddressInfo.State
[RBPR-138919-2025.json] Missing/Empty: permit.MainAddressInfo.County
[RBPR-138919-2025.json] Missing/Empty: permit.MainAddressInfo.Country
[RBPR-138919-2025.json] Missing/Empty: contacts.Result[0].Title
[RBPR-138919-2025.json] Missing/Empty: contacts.Result[5].Title
[RBPR-138919-2025.json] Missing/Empty: contacts.Result[6].Title
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[0].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[1].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[2].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[3].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[4].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[5].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[6].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[7].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[8].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[9].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[10].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[11].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[12].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[13].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[14].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[15].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[16].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[17].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[18].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[19].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[20].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[21].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[22].ScheduledStartDate
[RBPR-138919-2025.json] Missing/Empty: inspections.Result[22].WorkflowActionId
[RBPR-138919-2025.json] Missing/Empty: summary.Result[0].ActivityStatusName
